Freq.	V(out)
3.37794025157860e+02	(4.30902532336446e+01dB,-1.66943499903084e+02°)
3.62038671967511e+02	(4.31148505593134e+01dB,-1.67830652335803e+02°)
3.88023441026661e+02	(4.31363653195392e+01dB,-1.68664465417557e+02°)
4.15873226934391e+02	(4.31551715244992e+01dB,-1.69448015077483e+02°)
4.45721888407614e+02	(4.31716004004872e+01dB,-1.70184300493099e+02°)
4.77712891666844e+02	(4.31859446184797e+01dB,-1.70876230390988e+02°)
5.11999999999999e+02	(4.31984622689262e+01dB,-1.71526613406299e+02°)
5.48748012818581e+02	(4.32093805348567e+01dB,-1.72138151822723e+02°)
5.88133557758480e+02	(4.32188990756227e+01dB,-1.72713438096562e+02°)
6.30345939632595e+02	(4.32271931018754e+01dB,-1.73254953642817e+02°)
6.75588050315720e+02	(4.32344161630539e+01dB,-1.73765069438240e+02°)
7.24077343935023e+02	(4.32407026473316e+01dB,-1.74246048062409e+02°)
7.76046882053321e+02	(4.32461700288084e+01dB,-1.74700046862168e+02°)
8.31746453868783e+02	(4.32509208599623e+01dB,-1.75129121975666e+02°)
8.91443776815228e+02	(4.32550445450438e+01dB,-1.75535233002712e+02°)
9.55425783333688e+02	(4.32586189072525e+01dB,-1.75920248146665e+02°)
1.02400000000000e+03	(4.32617115711525e+01dB,-1.76285949688401e+02°)
1.09749602563716e+03	(4.32643811705495e+01dB,-1.76634039680845e+02°)
1.17626711551696e+03	(4.32666784147257e+01dB,-1.76966145779260e+02°)
1.26069187926519e+03	(4.32686470077784e+01dB,-1.77283827138845e+02°)
1.35117610063144e+03	(4.32703244522025e+01dB,-1.77588580331688e+02°)
1.44815468787004e+03	(4.32717427424201e+01dB,-1.77881845246312e+02°)
1.55209376410664e+03	(4.32729289557562e+01dB,-1.78165010944299e+02°)
1.66349290773756e+03	(4.32739057610138e+01dB,-1.78439421459293e+02°)
1.78288755363046e+03	(4.32746918321335e+01dB,-1.78706381526663e+02°)
1.91085156666738e+03	(4.32753022119683e+01dB,-1.78967162246111e+02°)
2.04799999999999e+03	(4.32757485824646e+01dB,-1.79223006671466e+02°)
2.19499205127432e+03	(4.32760394912076e+01dB,-1.79475135339196e+02°)
2.35253423103392e+03	(4.32761805111801e+01dB,-1.79724751739186e+02°)
2.52138375853038e+03	(4.32761743446469e+01dB,-1.79973047738310e+02°)
2.70235220126288e+03	(4.32760208766594e+01dB,1.79778791031757e+02°)
2.89630937574009e+03	(4.32757171701043e+01dB,1.79529579813032e+02°)
3.10418752821328e+03	(4.32752574125459e+01dB,1.79278129372550e+02°)
3.32698581547513e+03	(4.32746328060039e+01dB,1.79023240657284e+02°)
3.56577510726091e+03	(4.32738314026948e+01dB,1.78763699441698e+02°)
3.82170313333475e+03	(4.32728378799946e+01dB,1.78498270960671e+02°)
4.09599999999998e+03	(4.32716332532853e+01dB,1.78225694521332e+02°)
4.38998410254864e+03	(4.32701945216474e+01dB,1.77944678090996e+02°)
4.70506846206784e+03	(4.32684942393723e+01dB,1.77653892862773e+02°)
5.04276751706076e+03	(4.32665000062719e+01dB,1.77351967805279e+02°)
5.40470440252575e+03	(4.32641738708757e+01dB,1.77037484208269e+02°)
5.79261875148017e+03	(4.32614716297067e+01dB,1.76708970247987e+02°)
6.20837505642657e+03	(4.32583420240494e+01dB,1.76364895597824e+02°)
6.65397163095026e+03	(4.32547258080355e+01dB,1.76003666133001e+02°)
7.13155021452182e+03	(4.32505546867613e+01dB,1.75623618781371e+02°)
7.64340626666950e+03	(4.32457500956481e+01dB,1.75223016603059e+02°)
8.19199999999997e+03	(4.32402218250924e+01dB,1.74800044185231e+02°)
8.77996820509728e+03	(4.32338664510115e+01dB,1.74352803487483e+02°)
9.41013692413567e+03	(4.32265655695874e+01dB,1.73879310283060e+02°)
1.00855350341215e+04	(4.32181838099138e+01dB,1.73377491391568e+02°)
1.08094088050515e+04	(4.32085666126796e+01dB,1.72845182932718e+02°)
